DATE,spindx
20111018,1225.38
20111019,1209.88
20111020,1215.39
20111021,1238.25
20111024,1254.19
20111025,1229.05
20111026,1242.00
20111027,1284.59
20111028,1285.09
20111031,1253.30
20111101,1218.28
20111102,1237.90
20111103,1261.15
20111104,1253.23
20111107,1261.12
20111108,1275.92
20111109,1229.10
20111110,1239.69
20111111,1263.85
20111114,1251.78
20111115,1257.81
20111116,1236.91
20111117,1216.13
20111118,1215.65
20111121,1192.98
20111122,1188.04
20111123,1161.79
20111125,1158.67
20111128,1192.55
20111129,1195.19
20111130,1246.96
20111201,1244.58
20111202,1244.28
20111205,1257.08
20111206,1258.47
20111207,1261.01
20111208,1234.35
20111209,1255.19
20111212,1236.47
20111213,1225.73
20111214,1211.82
20111215,1215.75
20111216,1219.66
20111219,1205.35
20111220,1241.30
20111221,1243.72
20111222,1254.00
20111223,1265.33
20111227,1265.43
20111228,1249.64
20111229,1263.02
20111230,1257.60
20120103,1277.06
20120104,1277.30
20120105,1281.06
20120106,1277.81
20120109,1280.70
20120110,1292.08
20120111,1292.48
20120112,1295.50
20120113,1289.09
20120117,1293.67
20120118,1308.04
20120119,1314.50
20120120,1315.38
20120123,1316.00
20120124,1314.65
20120125,1326.05
20120126,1318.43
20120127,1316.33
20120130,1313.01
20120131,1312.41
20120201,1324.09
20120202,1325.54
20120203,1344.90
20120206,1344.33
20120207,1347.05
20120208,1349.96
20120209,1351.95
20120210,1342.64
20120213,1351.77
20120214,1350.50
20120215,1343.23
20120216,1358.04
20120217,1361.23
20120221,1362.21
20120222,1357.66
20120223,1363.46
20120224,1365.74
20120227,1367.59
20120228,1372.18
20120229,1365.68
20120301,1374.09
20120302,1369.63
20120305,1364.33
20120306,1343.36
20120307,1352.63
20120308,1365.91
20120309,1370.87
20120312,1371.09
20120313,1395.95
20120314,1394.28
20120315,1402.60
20120316,1404.17
20120319,1409.75
20120320,1405.52
20120321,1402.89
20120322,1392.78
20120323,1397.11
20120326,1416.51
20120327,1412.52
20120328,1405.54
20120329,1403.28
20120330,1408.47
20120402,1419.04
20120403,1413.38
20120404,1398.96
20120405,1398.08
20120409,1382.20
20120410,1358.59
20120411,1368.71
20120412,1387.57
20120413,1370.26
20120416,1369.57
20120417,1390.78
20120418,1385.14
20120419,1376.92
20120420,1378.53
20120423,1366.94
20120424,1371.97
20120425,1390.69
20120426,1399.98
20120427,1403.36
20120430,1397.91
20120501,1405.82
20120502,1402.31
20120503,1391.57
20120504,1369.10
20120507,1369.58
20120508,1363.72
20120509,1354.58
20120510,1357.99
20120511,1353.39
20120514,1338.35
20120515,1330.66
20120516,1324.80
20120517,1304.86
20120518,1295.22
20120521,1315.99
20120522,1316.63
20120523,1318.86
20120524,1320.68
20120525,1317.82
20120529,1332.42
20120530,1313.32
20120531,1310.33
20120601,1278.04
20120604,1278.18
20120605,1285.50
20120606,1315.13
20120607,1314.99
20120608,1325.66
20120611,1308.93
20120612,1324.18
20120613,1314.88
20120614,1329.10
20120615,1342.84
20120618,1344.78
20120619,1357.98
20120620,1355.69
20120621,1325.51
20120622,1335.02
20120625,1313.72
20120626,1319.99
20120627,1331.85
20120628,1329.04
20120629,1362.16
20120702,1365.51
20120703,1374.02
20120705,1367.58
20120706,1354.68
20120709,1352.46
20120710,1341.47
20120711,1341.45
20120712,1334.76
20120713,1356.78
20120716,1353.64
20120717,1363.67
20120718,1372.78
20120719,1376.51
20120720,1362.66
20120723,1350.52
20120724,1338.31
20120725,1337.89
20120726,1360.02
20120727,1385.97
20120730,1385.30
20120731,1379.32
20120801,1375.14
20120802,1365.00
20120803,1390.99
20120806,1394.23
20120807,1401.35
20120808,1402.22
20120809,1402.80
20120810,1405.87
20120813,1404.11
20120814,1403.93
20120815,1405.53
20120816,1415.51
20120817,1418.16
20120820,1418.13
20120821,1413.17
20120822,1413.49
20120823,1402.08
20120824,1411.13
20120827,1410.44
20120828,1409.30
20120829,1410.49
20120830,1399.48
20120831,1406.58
20120904,1404.94
20120905,1403.44
20120906,1432.12
20120907,1437.92
20120910,1429.08
20120911,1433.56
20120912,1436.56
20120913,1459.99
20120914,1465.77
20120917,1461.19
20120918,1459.32
20120919,1461.05
20120920,1460.26
20120921,1460.15
20120924,1456.89
20120925,1441.59
20120926,1433.32
20120927,1447.15
20120928,1440.67
20121001,1444.49
20121002,1445.75
20121003,1450.99
20121004,1461.40
20121005,1460.93
20121008,1455.88
20121009,1441.48
20121010,1432.56
20121011,1432.84
20121012,1428.59
20121015,1440.13
20121016,1454.92
20121017,1460.91
20121018,1457.34
20121019,1433.19
20121022,1433.82
20121023,1413.11
20121024,1408.75
20121025,1412.97
20121026,1411.94
20121031,1412.16
20121101,1427.59
20121102,1414.20
20121105,1417.26
20121106,1428.39
20121107,1394.53
20121108,1377.51
20121109,1379.85
20121112,1380.03
20121113,1374.53
20121114,1355.49
20121115,1353.33
20121116,1359.88
20121119,1386.89
20121120,1387.81
20121121,1391.03
20121123,1409.15
20121126,1406.29
20121127,1398.94
20121128,1409.93
20121129,1415.95
20121130,1416.18
20121203,1409.46
20121204,1407.05
20121205,1409.28
20121206,1413.94
20121207,1418.07
20121210,1418.55
20121211,1427.84
20121212,1428.48
20121213,1419.45
20121214,1413.58
20121217,1430.36
20121218,1446.79
20121219,1435.81
20121220,1443.69
20121221,1430.15
20121224,1426.66
20121226,1419.83
20121227,1418.10
20121228,1402.43
20121231,1426.19
20130102,1462.42
20130103,1459.37
20130104,1466.47
20130107,1461.89
20130108,1457.15
20130109,1461.02
20130110,1472.12
20130111,1472.05
20130114,1470.68
20130115,1472.34
20130116,1472.63
20130117,1480.94
20130118,1485.98
20130122,1492.56
20130123,1494.81
20130124,1494.82
20130125,1502.96
20130128,1500.18
20130129,1507.84
20130130,1501.96
20130131,1498.11
20130201,1513.17
20130204,1495.71
20130205,1511.29
20130206,1512.12
20130207,1509.39
20130208,1517.93
20130211,1517.01
20130212,1519.43
20130213,1520.33
20130214,1521.38
20130215,1519.79
20130219,1530.94
20130220,1511.95
20130221,1502.42
20130222,1515.60
20130225,1487.85
20130226,1496.94
20130227,1515.99
20130228,1514.68
20130301,1518.20
20130304,1525.20
20130305,1539.79
20130306,1541.46
20130307,1544.26
20130308,1551.18
20130311,1556.22
20130312,1552.48
20130313,1554.52
20130314,1563.23
20130315,1560.70
20130318,1552.10
20130319,1548.34
20130320,1558.71
20130321,1545.80
20130322,1556.89
20130325,1551.69
20130326,1563.77
20130327,1562.85
20130328,1569.19
20130401,1562.17
20130402,1570.25
20130403,1553.69
20130404,1559.98
20130405,1553.28
