date,_NAME_,SELL,PORT2,PORT3,PORT4,BUY,asyret
15JUN2006,mret,1.8562253732,1.7944736054,2.4090347063,2.8517615877,3.1698631929,1.3136378197
23JUN2006,mret,0.2730327033,-0.199896071,-0.063303515,0.7011658469,0.3507632307,0.0777305274
26JUN2006,mret,0.5219108098,0.4056472642,0.4699912318,0.8497999006,0.2944418311,-0.227468979
27JUN2006,mret,-1.001422637,-0.866638593,-0.647659368,-0.962470871,-0.835632845,0.1657897915
28JUN2006,mret,0.1766167774,0.3156388481,0.6938098728,0.6026491885,0.5351747933,0.358558016
29JUN2006,mret,2.1855206521,1.8444511667,1.9179600163,2.8235089512,2.5494641548,0.3639435027
30JUN2006,mret,0.1214582233,-0.105384853,-0.212929969,0.3324521989,0.2929523007,0.1714940775
03JUL2006,mret,0.4689132571,0.6843765303,0.8322396188,0.7554833649,0.6033410337,0.1344277767
05JUL2006,mret,-0.725439836,-0.667429673,-0.512738157,-0.580729419,-0.912205347,-0.186765511
06JUL2006,mret,-0.020679106,0.4988451913,0.4012019539,0.1979898224,-0.017028859,0.0036502465
07JUL2006,mret,-0.541349335,-0.323047453,-0.583055958,-1.357401368,-0.965242249,-0.423892914
10JUL2006,mret,0.4823684945,0.2807489403,0.2767193095,0.0763279601,-0.063473672,-0.545842166
11JUL2006,mret,0.4450597182,0.1213529404,0.5502895702,0.4088124326,0.1039275665,-0.341132152
12JUL2006,mret,-0.978793126,-0.863256131,-0.917551543,-1.31232813,-1.335017376,-0.35622425
13JUL2006,mret,-1.498292384,-1.194230148,-1.292221506,-1.394133145,-1.712747647,-0.214455264
14JUL2006,mret,-0.942397596,-0.588055229,-0.308648125,-0.420684508,-0.84589341,0.0965041854
17JUL2006,mret,-0.178339874,0.1791816609,-0.339998247,-0.622199156,-0.654069695,-0.475729821
18JUL2006,mret,0.4728659005,0.2352434459,0.2012619468,-0.159568441,0.0965616793,-0.376304221
19JUL2006,mret,2.4450526008,1.9143435466,1.9826712191,2.0800057841,2.3921909503,-0.05286165
20JUL2006,mret,-1.382137747,-0.379957287,-0.674025264,-1.338155409,-1.639411175,-0.257273427
