"","year","month","observation_date","GDPC1","GDPchange_annual","INDPRO","INDPROchange_annual","T10Y3M","UNRATE","UNRATEchange_annual","CPIAUCSL","CPIchange_annual","vix","HedgingPressure"
"131","1992","11",1992-11-01,9840.753,0.0438258764363839,64.563,0.0351445383271071,3.57,7.4,0.4,142.1,0.0312046444121915,14.4245,0.107316781876236
"132","1992","12",1992-12-01,9840.753,0.0438258764363839,64.6477,0.0410274412680214,3.55,7.4,0.100000000000001,142.3,0.0296671490593345,12.1913636363636,0.0729298364020931
"133","1993","01",1993-01-01,9857.185,0.0331998175346975,64.9199,0.0509191509751612,3.43,7.3,0,142.8,0.0325379609544469,12.409,0.0635100007340646
"134","1993","02",1993-02-01,9857.185,0.0331998175346975,65.2156,0.0482008849713982,3.02,7.1,-0.300000000000001,143.1,0.0324675324675325,13.7215789473684,0.00566930337491906
"135","1993","03",1993-03-01,9857.185,0.0331998175346975,65.1605,0.0388729367386082,3.08,7,-0.4,143.3,0.0301941049604602,13.6060869565217,-0.0226111631261528
"136","1993","04",1993-04-01,9914.565,0.0280666739044077,65.3503,0.034054821268361,3.08,7.1,-0.300000000000001,143.8,0.0315638450502152,12.8409523809524,-0.00943476848673846
"137","1993","05",1993-05-01,9914.565,0.0280666739044077,65.0993,0.0267898827775044,3.03,7.1,-0.5,144.2,0.0322118826055834,13.606,0.0266310940364947
"138","1993","06",1993-06-01,9914.565,0.0280666739044077,65.2428,0.0284854924191072,2.7,7,-0.8,144.3,0.0299785867237689,12.5240909090909,0.0636711867709876
"139","1993","07",1993-07-01,9961.873,0.0228651576081572,65.3988,0.0216487276022056,2.73,6.9,-0.8,144.5,0.0284697508896797,11.5004761904762,0.0951122529300014
"140","1993","08",1993-08-01,9961.873,0.0228651576081572,65.3265,0.0260943184031464,2.37,6.8,-0.8,144.8,0.0284090909090909,11.9286363636364,0.0559667157204809
"141","1993","09",1993-09-01,9961.873,0.0228651576081572,65.6562,0.0281867255071152,2.42,6.7,-0.899999999999999,145,0.0276399716513112,12.9314285714286,0.0695413748443995
"142","1993","10",1993-10-01,10097.362,0.0260761549446469,66.1632,0.0288342671076633,2.33,6.8,-0.5,145.6,0.0275229357798166,11.8752380952381,0.00529378599337826
"143","1993","11",1993-11-01,10097.362,0.0260761549446469,66.4831,0.0297399439307342,2.62,6.6,-0.800000000000001,146,0.0274454609429979,14.0838095238095,0.052058873741304
"144","1993","12",1993-12-01,10097.362,0.0260761549446469,66.8399,0.0339099457521304,2.76,6.5,-0.9,146.3,0.028109627547435,11.3563636363636,0.0405734338290985
"145","1994","01",1994-01-01,10195.338,0.0343052301443059,67.0596,0.0329590772629041,2.65,6.6,-0.7,146.3,0.0245098039215686,11.2904761904762,0.0143546585919649
"146","1994","02",1994-02-01,10195.338,0.0343052301443059,67.106,0.0289869295076638,2.68,6.6,-0.5,146.7,0.0251572327044025,13.6442105263158,-0.00901535556619287
"147","1994","03",1994-03-01,10195.338,0.0343052301443059,67.7792,0.0401884577312943,3.21,6.5,-0.5,147.1,0.0265177948360083,15.2234782608696,-0.0179392147627709
"148","1994","04",1994-04-01,10333.495,0.0422539970235709,68.1906,0.0434626925966675,3.09,6.4,-0.699999999999999,147.2,0.0236439499304588,16.4710526315789,-0.0701661902317042
"149","1994","05",1994-05-01,10333.495,0.0422539970235709,68.5136,0.052447568560645,2.86,6.1,-1,147.5,0.0228848821081832,13.8971428571429,-0.0749660714080748
"150","1994","06",1994-06-01,10333.495,0.0422539970235709,68.9608,0.0569871311470385,3.08,6.1,-0.9,147.9,0.0249480249480249,13.4086363636364,-0.0842096137585421
"151","1994","07",1994-07-01,10393.898,0.0433678485963432,69.0536,0.0558848174584245,2.73,6.1,-0.800000000000001,148.4,0.0269896193771627,12.4845,-0.0873849062844439
"152","1994","08",1994-08-01,10393.898,0.0433678485963432,69.5074,0.0640000612308942,2.51,6,-0.8,149,0.0290055248618784,11.8891304347826,-0.0442261709563416
"153","1994","09",1994-09-01,10393.898,0.0433678485963432,69.7304,0.0620535455905155,2.82,5.9,-0.8,149.3,0.0296551724137932,13.2333333333333,-0.0221016223415779
"154","1994","10",1994-10-01,10512.962,0.0411592651625247,70.2734,0.0621221464499902,2.61,5.8,-1,149.4,0.0260989010989012,15.2452380952381,-0.0557906666176602
"155","1994","11",1994-11-01,10512.962,0.0411592651625247,70.7471,0.0641366001284539,2.19,5.6,-1,149.8,0.026027397260274,16.3838095238095,-0.0553470580028605
"156","1994","12",1994-12-01,10512.962,0.0411592651625247,71.4653,0.0692011807318682,2.16,5.5,-1,150.1,0.0259740259740259,14.1771428571429,0.0125306627150166
"157","1995","01",1995-01-01,10550.251,0.0348113029700438,71.5873,0.0675175515511574,1.6,5.6,-1,150.5,0.0287081339712918,12.2742857142857,-0.0681146898981886
"158","1995","02",1995-02-01,10550.251,0.0348113029700438,71.4827,0.0652206956158913,1.28,5.4,-1.2,150.9,0.0286298568507159,11.47,-0.122934342646983
"159","1995","03",1995-03-01,10550.251,0.0348113029700438,71.5962,0.0563152117463764,1.32,5.4,-1.1,151.2,0.0278721957851801,12.1665217391304,-0.11003196339004
"160","1995","04",1995-04-01,10581.723,0.0240216886929349,71.4939,0.0484421606497082,1.2,5.8,-0.600000000000001,151.8,0.0312500000000002,12.4426315789474,-0.159759835048184
"161","1995","05",1995-05-01,10581.723,0.0240216886929349,71.8245,0.0483247121739334,0.49,5.6,-0.5,152.1,0.0311864406779661,12.2659090909091,-0.103826317449449
"162","1995","06",1995-06-01,10581.723,0.0240216886929349,72.0577,0.0449081217155252,0.61,5.6,-0.5,152.4,0.0304259634888438,11.8968181818182,0.0349518373029622
"163","1995","07",1995-07-01,10671.738,0.0267310685558007,71.7421,0.0389335241030155,0.85,5.7,-0.399999999999999,152.6,0.0283018867924528,12.514,0.0922463086095831
